author,article
"Massimiliano Menarini","Semantics-assisted code review: an efficient toolchain and a user study"
"Yan Yan","Semantics-assisted code review: an efficient toolchain and a user study"
"William G. Griswold","Semantics-assisted code review: an efficient toolchain and a user study"
"Grigore Rosu","Semantics-assisted code review: an efficient toolchain and a user study"
"Massimiliano Di Penta","Semantics-assisted code review: an efficient toolchain and a user study"
"Tien N. Nguyen","Semantics-assisted code review: an efficient toolchain and a user study"
"Frolin S. Ocariza, Jr.","Detecting unknown inconsistencies in web applications"
"Karthik Pattabiraman","Detecting unknown inconsistencies in web applications"
"Ali Mesbah","Detecting unknown inconsistencies in web applications"
"Grigore Rosu","Detecting unknown inconsistencies in web applications"
"Massimiliano Di Penta","Detecting unknown inconsistencies in web applications"
"Tien N. Nguyen","Detecting unknown inconsistencies in web applications"
"Kristín Fjóla Tómasdóttir","Why and how JavaScript developers use linters"
"Maurício Aniche","Why and how JavaScript developers use linters"
"Arie van Deursen","Why and how JavaScript developers use linters"
"Grigore Rosu","Why and how JavaScript developers use linters"
"Massimiliano Di Penta","Why and how JavaScript developers use linters"
"Tien N. Nguyen","Why and how JavaScript developers use linters"
"Timotej Kapus","Automatic testing of symbolic execution engines via program generation and differential testing"
"Cristian Cadar","Automatic testing of symbolic execution engines via program generation and differential testing"
"Grigore Rosu","Automatic testing of symbolic execution engines via program generation and differential testing"
"Massimiliano Di Penta","Automatic testing of symbolic execution engines via program generation and differential testing"
"Tien N. Nguyen","Automatic testing of symbolic execution engines via program generation and differential testing"
"Daniel Liew","Floating-point symbolic execution: a case study in n-version programming"
"Daniel Schemmel","Floating-point symbolic execution: a case study in n-version programming"
"Cristian Cadar","Floating-point symbolic execution: a case study in n-version programming"
"Alastair F. Donaldson","Floating-point symbolic execution: a case study in n-version programming"
"Rafael Zähl","Floating-point symbolic execution: a case study in n-version programming"
"Klaus Wehrle","Floating-point symbolic execution: a case study in n-version programming"
"Grigore Rosu","Floating-point symbolic execution: a case study in n-version programming"
"Massimiliano Di Penta","Floating-point symbolic execution: a case study in n-version programming"
"Tien N. Nguyen","Floating-point symbolic execution: a case study in n-version programming"
"Emilio Coppa","Rethinking pointer reasoning in symbolic execution"
"Daniele Cono D’Elia","Rethinking pointer reasoning in symbolic execution"
"Camil Demetrescu","Rethinking pointer reasoning in symbolic execution"
"Grigore Rosu","Rethinking pointer reasoning in symbolic execution"
"Massimiliano Di Penta","Rethinking pointer reasoning in symbolic execution"
"Tien N. Nguyen","Rethinking pointer reasoning in symbolic execution"
"Eman Alatawi","Leveraging abstract interpretation for efficient dynamic symbolic execution"
"Harald Søndergaard","Leveraging abstract interpretation for efficient dynamic symbolic execution"
"Tim Miller","Leveraging abstract interpretation for efficient dynamic symbolic execution"
"Grigore Rosu","Leveraging abstract interpretation for efficient dynamic symbolic execution"
"Massimiliano Di Penta","Leveraging abstract interpretation for efficient dynamic symbolic execution"
"Tien N. Nguyen","Leveraging abstract interpretation for efficient dynamic symbolic execution"
"Aaron Weiss","Tortoise: interactive system configuration repair"
"Arjun Guha","Tortoise: interactive system configuration repair"
"Yuriy Brun","Tortoise: interactive system configuration repair"
"Grigore Rosu","Tortoise: interactive system configuration repair"
"Massimiliano Di Penta","Tortoise: interactive system configuration repair"
"Tien N. Nguyen","Tortoise: interactive system configuration repair"
"Liushan Chen","Contract-based program repair without the contracts"
"Yu Pei","Contract-based program repair without the contracts"
"Carlo A. Furia","Contract-based program repair without the contracts"
"Grigore Rosu","Contract-based program repair without the contracts"
"Massimiliano Di Penta","Contract-based program repair without the contracts"
"Tien N. Nguyen","Contract-based program repair without the contracts"
"Ripon K. Saha","ELIXIR: effective object oriented program repair"
"Yingjun Lyu","ELIXIR: effective object oriented program repair"
"Hiroaki Yoshida","ELIXIR: effective object oriented program repair"
"Mukul R. Prasad","ELIXIR: effective object oriented program repair"
"Grigore Rosu","ELIXIR: effective object oriented program repair"
"Massimiliano Di Penta","ELIXIR: effective object oriented program repair"
"Tien N. Nguyen","ELIXIR: effective object oriented program repair"
"Qi Xin","Leveraging syntax-related code for automated program repair"
"Steven P. Reiss","Leveraging syntax-related code for automated program repair"
"Grigore Rosu","Leveraging syntax-related code for automated program repair"
"Massimiliano Di Penta","Leveraging syntax-related code for automated program repair"
"Tien N. Nguyen","Leveraging syntax-related code for automated program repair"
"Hao Zhong","Boosting complete-code tool for partial program"
"Xiaoyin Wang","Boosting complete-code tool for partial program"
"Grigore Rosu","Boosting complete-code tool for partial program"
"Massimiliano Di Penta","Boosting complete-code tool for partial program"
"Tien N. Nguyen","Boosting complete-code tool for partial program"
"Yixiao Yang","A language model for statements of software code"
"Yu Jiang","A language model for statements of software code"
"Ming Gu","A language model for statements of software code"
"Jiaguang Sun","A language model for statements of software code"
"Jian Gao","A language model for statements of software code"
"Han Liu","A language model for statements of software code"
"Grigore Rosu","A language model for statements of software code"
"Massimiliano Di Penta","A language model for statements of software code"
"Tien N. Nguyen","A language model for statements of software code"
"Marko Gasparic","Context-aware integrated development environment command recommender systems"
"Tural Gurbanov","Context-aware integrated development environment command recommender systems"
"Francesco Ricci","Context-aware integrated development environment command recommender systems"
"Grigore Rosu","Context-aware integrated development environment command recommender systems"
"Massimiliano Di Penta","Context-aware integrated development environment command recommender systems"
"Tien N. Nguyen","Context-aware integrated development environment command recommender systems"
"Thomas Rolfsnes","Predicting relevance of change recommendations"
"Leon Moonen","Predicting relevance of change recommendations"
"David Binkley","Predicting relevance of change recommendations"
"Grigore Rosu","Predicting relevance of change recommendations"
"Massimiliano Di Penta","Predicting relevance of change recommendations"
"Tien N. Nguyen","Predicting relevance of change recommendations"
"Bowen Xu","AnswerBot: automated generation of answer summary to developersź technical questions"
"Zhenchang Xing","AnswerBot: automated generation of answer summary to developersź technical questions"
"Xin Xia","AnswerBot: automated generation of answer summary to developersź technical questions"
"David Lo","AnswerBot: automated generation of answer summary to developersź technical questions"
"Grigore Rosu","AnswerBot: automated generation of answer summary to developersź technical questions"
"Massimiliano Di Penta","AnswerBot: automated generation of answer summary to developersź technical questions"
