author,article
"Amit Paradkar","Finding Bugs in Web Applications Using Dynamic Test Generation and Explicit-State Model Checking"
"Nels E. Beckman","Proofs from Tests"
"Aditya V. Nori","Proofs from Tests"
"Sriram K. Rajamani","Proofs from Tests"
"Robert J. Simmons","Proofs from Tests"
"Sai Deep Tetali","Proofs from Tests"
"Eric Bodden","Aspect-Oriented Race Detection in Java"
"Klaus Havelund","Aspect-Oriented Race Detection in Java"
"George K. Baah","The Probabilistic Program Dependence Graph and Its Application to Fault Diagnosis"
"Andy Podgurski","The Probabilistic Program Dependence Graph and Its Application to Fault Diagnosis"
"Mary Jean Harrold","The Probabilistic Program Dependence Graph and Its Application to Fault Diagnosis"
"Raymond P.L. Buse","Learning a Metric for Code Readability"
"Westley R. Weimer","Learning a Metric for Code Readability"
"Noura Limam","Assessing Software Service Quality and Trustworthiness at Selection Time"
"Raouf Boutaba","Assessing Software Service Quality and Trustworthiness at Selection Time"
"Niklas Pettersson","Evaluation of Accuracy in Design Pattern Occurrence Detection"
"Welf Lowe","Evaluation of Accuracy in Design Pattern Occurrence Detection"
"Joakim Nivre","Evaluation of Accuracy in Design Pattern Occurrence Detection"
"Engin Uzuncaova","Incremental Test Generation for Software Product Lines"
"Sarfraz Khurshid","Incremental Test Generation for Software Product Lines"
"Don Batory","Incremental Test Generation for Software Product Lines"
"Roberto Pietrantuono","Software Reliability and Testing Time Allocation: An Architecture-Based Approach"
"Stefano Russo","Software Reliability and Testing Time Allocation: An Architecture-Based Approach"
"Kishor S. Trivedi","Software Reliability and Testing Time Allocation: An Architecture-Based Approach"
"Geri Georg","Verification and Trade-Off Analysis of Security Properties in UML System Models"
"Kyriakos Anastasakis","Verification and Trade-Off Analysis of Security Properties in UML System Models"
"Behzad Bordbar","Verification and Trade-Off Analysis of Security Properties in UML System Models"
"Siv Hilde Houmb","Verification and Trade-Off Analysis of Security Properties in UML System Models"
"Indrakshi Ray","Verification and Trade-Off Analysis of Security Properties in UML System Models"
"Joao Antunes","Vulnerability Discovery with Attack Injection"
"Nuno Neves","Vulnerability Discovery with Attack Injection"
"Miguel Correia","Vulnerability Discovery with Attack Injection"
"Paulo Verissimo","Vulnerability Discovery with Attack Injection"
"Rui Neves","Vulnerability Discovery with Attack Injection"
"George Spanoudakis","Discovering Services during Service-Based System Design Using UML"
"Andrea Zisman","Discovering Services during Service-Based System Design Using UML"
"Benedikt Bollig","Learning Communicating Automata from MSCs"
"Joost-Pieter Katoen","Learning Communicating Automata from MSCs"
"Carsten Kern","Learning Communicating Automata from MSCs"
"Martin Leucker","Learning Communicating Automata from MSCs"
"Rene Meier","On Event-Based Middleware for Location-Aware Mobile Applications"
"Vinny Cahill","On Event-Based Middleware for Location-Aware Mobile Applications"
"Chunying Zhao","Program Behavior Discovery and Verification: A Graph Grammar Approach"
"Jun Kong","Program Behavior Discovery and Verification: A Graph Grammar Approach"
"Kang Zhang","Program Behavior Discovery and Verification: A Graph Grammar Approach"
"Hina Shah","Understanding Exception Handling: Viewpoints of Novices and Experts"
"Carsten Gorg","Understanding Exception Handling: Viewpoints of Novices and Experts"
"Mary Jean Harrold","Understanding Exception Handling: Viewpoints of Novices and Experts"
"Barbara Staudt Lerner","Exception Handling Patterns for Process Modeling"
"Stefan Christov","Exception Handling Patterns for Process Modeling"
"Leon J. Osterweil","Exception Handling Patterns for Process Modeling"
"Reda Bendraou","Exception Handling Patterns for Process Modeling"
"Udo Kannengiesser","Exception Handling Patterns for Process Modeling"
"Devdatta Kulkarni","A Framework for Programming Robust Context-Aware Applications"
"Anand Tripathi","A Framework for Programming Robust Context-Aware Applications"
"Gerhard Friedrich","Exception Handling for Repair in Service-Based Processes"
"Maria Grazia Fugini","Exception Handling for Repair in Service-Based Processes"
"Enrico Mussi","Exception Handling for Repair in Service-Based Processes"
"Barbara Pernici","Exception Handling for Repair in Service-Based Processes"
"Gaston Tagni","Exception Handling for Repair in Service-Based Processes"
"Raed Shatnawi","A Quantitative Investigation of the Acceptable Risk Levels of Object-Oriented Metrics in Open-Source Systems"
"Mark Harman","A Theoretical and Empirical Study of Search-Based Testing: Local, Global, and Hybrid Search"
"Phil McMinn","A Theoretical and Empirical Study of Search-Based Testing: Local, Global, and Hybrid Search"
"Doug Kimelman","Bayesian Approaches to Matching Architectural Diagrams"
"Marsha Kimelman","Bayesian Approaches to Matching Architectural Diagrams"
"David Mandelin","Bayesian Approaches to Matching Architectural Diagrams"
"Daniel Yellin","Bayesian Approaches to Matching Architectural Diagrams"
"Patrice Chalin","Engineering a Sound Assertion Semantics for the Verifying Compiler"
"James Skene","Service-Level Agreements for Electronic Services"
"Franco Raimondi","Service-Level Agreements for Electronic Services"
"Wolfgang Emmerich","Service-Level Agreements for Electronic Services"
"Susan Horwitz","Better Debugging via Output Tracing and Callstack-Sensitive Slicing"
"Ben Liblit","Better Debugging via Output Tracing and Callstack-Sensitive Slicing"
"Marina Polishchuk","Better Debugging via Output Tracing and Callstack-Sensitive Slicing"
"Naouel Moha","DECOR: A Method for the Specification and Detection of Code and Design Smells"
"Yann-Gael Gueheneuc","DECOR: A Method for the Specification and Detection of Code and Design Smells"
"Laurence Duchien","DECOR: A Method for the Specification and Detection of Code and Design Smells"
"Anne-Francoise Le Meur","DECOR: A Method for the Specification and Detection of Code and Design Smells"
"Husain Aljazzar","Directed Explicit State-Space Search in the Generation of Counterexamples for Stochastic Model Checking"
"Stefan Leue","Directed Explicit State-Space Search in the Generation of Counterexamples for Stochastic Model Checking"
"Jo E. Hannay","Effects of Personality on Pair Programming"
"Erik Arisholm","Effects of Personality on Pair Programming"
"Harald Engvik","Effects of Personality on Pair Programming"
"Dag I.K. Sjoberg","Effects of Personality on Pair Programming"
"Xun Yuan","Generating Event Sequence-Based Test Cases Using GUI Runtime State Feedback"
"Atif M. Memon","Generating Event Sequence-Based Test Cases Using GUI Runtime State Feedback"
"Filippo Ricca","How Developers' Experience and Ability Influence Web Application Comprehension Tasks Supported by UML Stereotypes: A Series of Four Experiments"
"Massimiliano Di Penta","How Developers' Experience and Ability Influence Web Application Comprehension Tasks Supported by UML Stereotypes: A Series of Four Experiments"
"Marco Torchiano","How Developers' Experience and Ability Influence Web Application Comprehension Tasks Supported by UML Stereotypes: A Series of Four Experiments"
"Paolo Tonella","How Developers' Experience and Ability Influence Web Application Comprehension Tasks Supported by UML Stereotypes: A Series of Four Experiments"
"Mariano Ceccato","How Developers' Experience and Ability Influence Web Application Comprehension Tasks Supported by UML Stereotypes: A Series of Four Experiments"
"Ivano Malavolta","Providing Architectural Languages and Tools Interoperability through Model Transformation Technologies"
"Henry Muccini","Providing Architectural Languages and Tools Interoperability through Model Transformation Technologies"
"Patrizio Pelliccione","Providing Architectural Languages and Tools Interoperability through Model Transformation Technologies"
"Damien Tamburri","Providing Architectural Languages and Tools Interoperability through Model Transformation Technologies"
"Jaiprakash T. Lallchandani","A Dynamic Slicing Technique for UML Architectural Models"
"R. Mall","A Dynamic Slicing Technique for UML Architectural Models"
"Yonghee Shin","Evaluating Complexity, Code Churn, and Developer Activity Metrics as Indicators of Software Vulnerabilities"
"Andrew Meneely","Evaluating Complexity, Code Churn, and Developer Activity Metrics as Indicators of Software Vulnerabilities"
"Laurie Williams","Evaluating Complexity, Code Churn, and Developer Activity Metrics as Indicators of Software Vulnerabilities"
"Jason A. Osborne","Evaluating Complexity, Code Churn, and Developer Activity Metrics as Indicators of Software Vulnerabilities"
"Jehad Al Dallal","Measuring the Discriminative Power of Object-Oriented Class Cohesion Metrics"
"Xiao Liu","Preventing Temporal Violations in Scientific Workflows: Where and How"
"Yun Yang","Preventing Temporal Violations in Scientific Workflows: Where and How"
"Yuanchun Jiang","Preventing Temporal Violations in Scientific Workflows: Where and How"
"Jinjun Chen","Preventing Temporal Violations in Scientific Workflows: Where and How"
"Laura Carnevali","Putting Preemptive Time Petri Nets to Work in a V-Model SW Life Cycle"
"Lorenzo Ridi","Putting Preemptive Time Petri Nets to Work in a V-Model SW Life Cycle"
"Enrico Vicario","Putting Preemptive Time Petri Nets to Work in a V-Model SW Life Cycle"
"Gerard J. Holzmann","Swarm Verification Techniques"
"Rajeev Joshi","Swarm Verification Techniques"
"Alex Groce","Swarm Verification Techniques"
"Loic Pauleve","Tuning Temporal Features within the Stochastic π-Calculus"
